entidad,tipo_entidad
Georgina Pontaza,ser humano
Euda María Carías Morales,ser humano
Evelyn Núñez,ser humano
Fabiola Rodas,ser humano
Fabricio Benítez,ser humano
Federico Urruela,ser humano
Fernando Marroquin,ser humano
juez,propiedad de Wikidata relacionada con el derecho y la justicia
Magistrado de la Corte de Constitucionalidad de Guatemala,cargo
Zúrich,ciudad
físico,profesión
San Salvador,ciudad
Puerto Barrios,ciudad
Santo Tomás de Castilla,ciudad
arquitecto,profesión
Argentina,país
"Del amor, del dolor y del vicio",edición
Estados Unidos,país
Escuintla,página de desambiguación de Wikimedia
Antigua Guatemala,ciudad
cirujano,profesión
Opus Dei,prelatura personal
taekwondista,deportista
atleta,deportista
cantante,músico
diplomático,profesión
Luis Aceituno,ser humano
Manuel León,ser humano
Manuel Ángel Molina Bedoya,ser humano
Marco Ciani,ser humano
Marco Rivas,ser humano
Mariano Antonio Sánchez Cabrera,ser humano
Mario David García Velásquez,ser humano
Mario Estrada,ser humano
Marta Yolanda Díaz-Durán,ser humano
Martha Bolaños de Prado,ser humano
Martín Machón,ser humano
María Cristina Orive,ser humano
María Dolores Molina,ser humano
María Teresa Aycinena y Piñol,ser humano
María del Rosario Molina,ser humano
Mauricio López Bonilla,ser humano
Maximino Pérez,ser humano
Mayra Rodríguez,ser humano
MENEO,ser humano
Miguel Ángel García y Aráuz,ser humano
soldado,profesión
Estanzuela,municipio
Departamento de San Marcos,departamento
Universidad Francisco Marroquín,universidad
Monjas,municipio
profesor universitario,profesión académica
ciclista,deportista
monja,ocupación religiosa
bailarín,profesión
sacerdote católico,presbítero
obispo auxiliar,cargo eclesiástico
Justo Rufino Barrios,ser humano
Gert Rosenthal,ser humano
Fernando Romeo Lucas García,ser humano
Manuel Lisandro Barillas Bercián,ser humano
Arturo Herbruger Asturias,ser humano
Mariano Rivera Paz,ser humano
Edwin Villatoro,ser humano
Rómulo Méndez,ser humano
José Eulalio Samayoa,ser humano
Johnny Morales,ser humano
Luis Swisher,ser humano
Norma Cruz,ser humano
Baudilio Palma,ser humano
Enrique Peralta Azurdia,ser humano
Manuel Estrada Cabrera,ser humano
Miguel Ydígoras Fuentes,ser humano
Julio César Méndez Montenegro,ser humano
Jorge Serrano Elías,ser humano
Guillermo Flores Avendaño,ser humano
